ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-10397-5p	3.01651525052765	2.57817497982422	2.32576686527983	0.943278378193147	0.968557084282422	1.11181570071065	1.95782484203258	0.70653888673251	-1.06259333711311	0.264433996118061	0.643351246981952	16__vs_never	FALSE	male
hsa-miR-10398-3p	1.8675914512829	1.93594420476094	0.41226348681197	1.88972653413091	1.13253838497058	0.978156093546952	0	1.41561797992872	0.80822010365311	0.271406359081795	NA	16__vs_never	NA	male
hsa-miR-10398-5p	0.541529154754953	0.500196718694375	1.1209203794944	0.109225870102316	0	0	0.907259648059808	0	-0.435696646149818	0.710844084050626	NA	16__vs_never	NA	male
hsa-miR-10399-3p	0.305275548835794	0.261746228373565	0.150738661614555	0.549594163279024	0	0	0	0	0.71097301698363	0.704465439838795	NA	16__vs_never	NA	male
hsa-miR-10399-5p	1.67174450291393	0.457834101708976	0.464063691945096	1.00627157591977	0	0	0	0	0.262252720322299	0.874689994993757	NA	16__vs_never	NA	male
hsa-miR-103a-1-5p	1.16555947825408	0.8700302351925	0.890112786461373	0.0273064675255791	0	0	0	0	-1.68943728719236	0.236239991220934	NA	16__vs_never	NA	male
hsa-miR-103a-2-5p	0.441410228143626	0.436518987480337	0.267701134336025	0.0273064675255791	0	0	0	0	-0.993803073380093	0.500013594245264	NA	16__vs_never	NA	male
hsa-miR-103a-3p	2.73017092726372	2.67179079548129	1.71642919311387	1.5698161670313	1.18349017853318	1.8147743147399	1.57478200831411	1.41561797992872	-0.616007748572406	0.404445096601367	0.748223428712529	16__vs_never	FALSE	male
hsa-miR-103b-3p:Novel	8.57247621011494	2.08039052772505	1.23338822243127	0.476179310190012	1.04233900137725	0.938077481109525	0	0	-1.89776065218374	0.0476815152377967	0.304258275091932	16__vs_never	FALSE	male
hsa-miR-103b-5p	0.301500471056406	0.123222234927856	0.0450942103231008	0.100934126676073	0	0	0	0	-0.414440282488038	0.888864494111569	NA	16__vs_never	NA	male
hsa-miR-10400-3p	2.32812538952419	4.07096687953474	1.67553875578289	2.62919768665515	1.14830386595161	1.59148690691779	1.3733778667889	2.11961666019753	-0.262181947007845	0.735610464844089	0.9215144396354	16__vs_never	FALSE	male
hsa-miR-10400-5p	88.2665266143363	108.003581585938	68.5243790040919	76.8261762545977	38.450234381889	33.4310821649453	38.2035795643436	44.5119498641481	-0.255804917327133	0.715873090084153	0.911228209063986	16__vs_never	FALSE	male
hsa-miR-10401-3p	1.43988941074023	0.537614082496049	0.586418951761951	0.677834757480676	0	0	0	0.70653888673251	-0.159946339628827	0.879837628499153	NA	16__vs_never	NA	male
hsa-miR-10401-5p	109.796300622512	61.7474975564194	117.302943920728	124.700124835114	44.912336827441	39.1924337755228	57.6818704051338	28.8091211892926	-0.545385694100597	0.406651108456472	0.750022516199187	16__vs_never	FALSE	male
hsa-miR-105-3p	14.9106953858459	8.82758554906739	4.65966217246755	2.94254019570723	3.76131940223129	3.3025375979684	3.91564968406516	3.71621068997459	-0.440401375918253	0.584974731628906	0.847599751003562	16__vs_never	FALSE	male
hsa-miR-105-5p	4.34008507697273	3.00143955028239	4.92272931946285	4.44825299905501	2.15117369548043	1.98057818436996	1.46836863152444	2.29374327214864	1.12847275680851	0.0704019419988703	0.373076275758719	16__vs_never	FALSE	male
hsa-miR-10522-3p:Novel	11.4538885989887	25.7976320414656	10.8138445882396	2.98376362079884	5.68872162347981	6.77144597720916	5.66752853919252	2.04873895734227	-1.63847409751639	0.0360137959631302	0.273335477053501	16__vs_never	FALSE	male
hsa-miR-10522-5p	0.752149524548244	0.616244461931005	0.220155152363684	0.685813571771841	0.0475779204380613	0.284437070937806	0	0	-0.220272936023596	0.811318734517212	NA	16__vs_never	NA	male
hsa-miR-10523-3p:Novel	16.2308272612364	15.6512655329198	30.7844883593066	11.64610781435	12.4342271544069	13.6269122434933	10.4191580630028	10.2432430895263	0.186780890835778	0.744855514378927	0.925839020855425	16__vs_never	FALSE	male
hsa-miR-10523-5p	1.9762532708036	1.92399672587162	6.70370895392727	2.72846350423022	1.19263256254823	1.10135495562336	2.17168536373645	2.10259799946959	0.592421552223989	0.435704387827922	0.766175531705795	16__vs_never	FALSE	male
hsa-miR-10524-3p:Novel	6.64140908431537	3.35641208698066	1.27584521117908	0.247004589312287	0.963671465838694	0.579626992854449	0	0	-2.31606180789429	0.0264440353243824	0.232169666068306	16__vs_never	FALSE	male
hsa-miR-10524-5p	5.57769122750201	2.44410873166193	1.12197417250295	0	0	0	0	0	-28.1500712783435	4.11723503352362e-94	8.53091098946094e-91	16__vs_never	TRUE	male
hsa-miR-10525-3p	0.255662539610611	0.612269455766665	0.652934540578941	0.18285352925281	0	0	0	0	-0.434638711184661	0.749620495698905	NA	16__vs_never	NA	male
hsa-miR-10525-5p:Novel	0.188256643004047	0.423642309166762	0.496495519853858	0.155547061727231	0	0	0	0	-0.734551715329062	0.649115049978815	NA	16__vs_never	NA	male
hsa-miR-10526-3p	5.2530350557639	3.49710983287468	4.50717369151814	3.4342869865341	3.80119797382186	2.70159104435917	3.42619347355702	3.20101346547696	-0.496583979456949	0.405033649962285	0.748643820447685	16__vs_never	FALSE	male
hsa-miR-10526-5p:Novel	5.00124899198122	3.35397933537749	4.42533448055425	2.81012658476776	3.29120463614653	2.14301292277951	3.42619347355702	2.56081077238157	-0.720595442638784	0.242957334361774	0.620959616575786	16__vs_never	FALSE	male
hsa-miR-10527-3p:Novel	9.81563613041508	16.9387607821064	11.9448864688458	12.7430071695563	7.60530896611	6.53004570630153	5.44355788835885	5.09699823078004	0.21562601767367	0.728447922378815	0.919928128744571	16__vs_never	FALSE	male
hsa-miR-10527-5p	8.68633901135559	15.8833805608194	10.8647288738045	12.4508662442839	6.43209793357879	4.89579866777582	4.72434602494234	5.09699823078004	0.338612534061716	0.613978061092568	0.86365413617366	16__vs_never	FALSE	male
hsa-miR-106a-3p	0.767852388697667	1.73625844161477	1.21139539045063	0.292676993906038	0	0	0	0	0.256124797605139	0.893649092489615	NA	16__vs_never	NA	male
hsa-miR-106a-5p	1.44692861979536	0.488428531398039	0.642152603975883	0.49336039159341	0	0	0	0	-0.222202587767933	0.855385846698691	NA	16__vs_never	NA	male
hsa-miR-106b-3p	2.91341286346965	1.06616047435698	1.18824314719368	0.256844075040975	0	0.322986119875601	1.06390974253064	0	-1.62928698962668	0.137315014793624	NA	16__vs_never	NA	male
hsa-miR-106b-5p	35.718110167792	29.2429916429521	55.0125555651597	7.2791409998285	6.23475657785958	4.46016296889061	38.1046077230202	5.65231109386008	2.08973390709999	0.00183427171796959	0.0587211158345683	16__vs_never	FALSE	male
hsa-miR-107	11.340460206434	10.7104468276762	6.61973058277898	12.9702799341531	4.49787804760325	4.89599386076826	4.95908747179346	4.94577220712757	1.45586144119698	0.047224385640901	0.30374472353541	16__vs_never	FALSE	male
hsa-miR-107-5p:Novel	1.65646196806012	1.49702620384593	0.642949315083013	0.357778201717048	0	0.291076477072185	0	0	-1.26935788769389	0.289289084440382	NA	16__vs_never	NA	male
hsa-miR-10a-3p	1.78170094968133	2.52187897436917	1.50269760699748	1.66574039633227	1.05826299283126	1.44322151233441	0	1.52916218143243	0.9535536044381	0.234060830786203	NA	16__vs_never	NA	male
hsa-miR-10a-5p	50.6291931159388	12.218363962488	5.30703553016914	7.34210635154196	7.49336269584551	4.34324120053186	6.51505609120936	2.67603381750675	-0.969751945189536	0.193985410066406	0.564586527440012	16__vs_never	FALSE	male
hsa-miR-10b-3p	3.83486464454259	4.94605356145882	2.38767009027103	0.922045222908443	2.47701023338575	1.17787230224491	0	0.640202693095392	0.153978704723674	0.847603579765672	0.957597937445187	16__vs_never	FALSE	male
hsa-miR-10b-5p	36.5512281271137	17.5777922072023	6.35857619580309	3.11819263535783	4.05479185247027	3.30249089924728	3.69812140669356	1.85810534498729	-1.70188521552441	0.0753824298928207	0.380637059389835	16__vs_never	FALSE	male
hsa-miR-11181-3p	1.64167813978961	2.37495305401683	1.22300330891663	1.26572625941227	0.672897761285216	0.950006706413083	1.17244946840062	0.640202693095392	0.372185968585859	0.666179878388986	NA	16__vs_never	NA	male
hsa-miR-11181-5p	0.23877066063875	0.181093547451002	0.0753009554627916	0	0	0	0	0	-0.56669813868975	0.842209334399581	NA	16__vs_never	NA	male
hsa-miR-11399	6.80694766533153	5.10822850138694	4.83026863345538	4.39701964555795	3.12624176165865	3.85080019711139	3.54220533699533	3.71621068997459	0.0119134066896327	0.984949946010695	0.992967109678945	16__vs_never	FALSE	male
hsa-miR-11399-3p:Novel	186.644623952334	188.65293993271	197.13913855913	157.880869279879	140.926868108237	155.216806433341	192.845746940209	96.6214779393392	-0.115334667680093	0.792322582728552	0.934500562938927	16__vs_never	FALSE	male
hsa-miR-11400	2.46744058400042	2.16139216282405	1.96451066656577	0.438211387908642	1.04233900137725	0.949656634790174	1.3733778667889	0	-0.738351822674755	0.366672841150168	0.729744517339748	16__vs_never	FALSE	male
hsa-miR-11400-3p:Novel	7.93872398619978	5.2334699260535	4.93131764594141	1.11489985147117	3.24115556175228	2.69000833773605	2.44728105254073	0	-1.74137903640241	0.0477239089791882	0.304258275091932	16__vs_never	FALSE	male
hsa-miR-11401	1.5437161046308	1.76685223937506	1.81862414267865	0.613074534455578	1.01505526968238	0.990289092184981	0.907259648059808	0.640202693095392	0.028477708413031	0.970655821359543	NA	16__vs_never	NA	male
hsa-miR-11401-3p:Novel	6.37703970327468	8.72711932230197	6.64959521348724	4.66640147977786	1.94824090953033	2.71206531516061	4.1201336003667	4.94577220712757	1.42105075440698	0.0687111663217838	0.371722027725159	16__vs_never	FALSE	male
hsa-miR-1178-3p	0.393356367056085	0.263953937235308	0.405023985904566	0	0	0	0	0	-1.04339625719845	0.53320936588508	NA	16__vs_never	NA	male
hsa-miR-1178-5p	0.946019941397313	1.33533004254048	0.863610653318476	0.722596638388437	0	0	0	0.382290545358107	1.36547527335632	0.180049922245092	NA	16__vs_never	NA	male
hsa-miR-1179	1.92688432075152	2.00237808650544	1.36062306555534	1.41007608547591	0.56958074096828	0.983849789682766	0.787391004157056	0.382290545358107	-0.407543050164204	0.639171183332771	NA	16__vs_never	NA	male
hsa-miR-1179-3p:Novel	7.87766291943402	7.99578292554411	16.2067744682237	5.72687432399451	4.67617717132467	5.3646465693174	8.50129280878878	5.09699823078004	0.496096113206041	0.411188842919159	0.751971123149601	16__vs_never	FALSE	male
hsa-miR-1180-3p	4.10813689720985	5.46921194501438	6.11672430469827	0.539446875305084	2.1769515819349	1.67664049213361	4.40510589457331	0	-1.08421607195894	0.232757810743961	0.610814747694426	16__vs_never	FALSE	male
hsa-miR-1180-5p	1.45908031816449	2.13073759722853	0.798036400585557	0.44829714996528	0	0.576788633164977	0.489456210508145	0	-1.67628297542674	0.122459275916569	NA	16__vs_never	NA	male
hsa-miR-1181	9.17799004922155	8.19965762320496	6.10836290255965	3.87971072907411	5.78370479167097	3.73628947700329	2.12781948506127	1.72030745411148	-0.49468886524902	0.47979916086004	0.792015227631476	16__vs_never	FALSE	male
hsa-miR-1181-3p:Novel	143.706249244604	104.895263272532	81.4350913909297	87.9181904825901	86.991749974977	70.5713699653437	61.069496998182	56.1967101676417	-0.381254406044774	0.410318526176575	0.751042390669491	16__vs_never	FALSE	male
hsa-miR-1182	12.4121330788797	10.6663172530816	19.712303462888	5.50079552137129	7.91330987619551	6.58250193176619	13.6088947208971	6.11664872572971	-0.13457036875523	0.78480594160755	0.931772756571286	16__vs_never	FALSE	male
hsa-miR-1182-5p:Novel	9.36975364635177	8.12338084530605	8.78068382760395	4.12131109965258	5.00311369278707	5.35654563034745	6.94610537533521	4.09747791468454	-0.176049183509592	0.775088935205419	0.929927199621094	16__vs_never	FALSE	male
hsa-miR-1183	3.28887981307511	3.43119822858449	3.14368675247061	3.23322134920974	2.36698035706636	2.54889691710733	1.84906070334678	3.05832436286486	0.387664938321292	0.515619668818191	0.812444071324176	16__vs_never	FALSE	male
hsa-miR-1183-5p:Novel	7.83306619212329	10.212494195036	12.1860825267719	3.74249198992027	5.90545183250605	5.33340722705563	6.38345845518381	4.09747791468454	-0.306683149226153	0.578432464162056	0.845630404949533	16__vs_never	FALSE	male
hsa-miR-1184	41.1086680395933	28.1910822362293	41.0273078403146	18.6181301536588	19.2446258976776	15.42595083806	31.8798480329579	11.3249438394297	0.582867792552044	0.192916499806477	0.564586527440012	16__vs_never	FALSE	male
hsa-miR-1184-5p:Novel	4.45720953608265	3.53598299040331	3.96307928734258	4.69931136767355	3.80696723266481	1.92319855147964	3.69812140669356	4.09747791468454	0.740383019684534	0.157511740257426	0.523859270968517	16__vs_never	FALSE	male
