"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-6860","F2RL2","2151","ENSG00000164220","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","FUS","2521","ENSG00000089280","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","FUT1","2523","ENSG00000174951","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","FUT1","2523","ENSG00000174951","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","FUT1","2523","ENSG00000174951","HITS-CLIP","23706177"
"mirtarbase","hsa-miR-6860","FUT1","2523","ENSG00000174951","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","FUT1","2523","ENSG00000174951","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-6860","GLG1","2734","ENSG00000090863","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-6860","GMPR","2766","ENSG00000137198","HITS-CLIP","24906430"
"mirtarbase","hsa-miR-6860","GRK6","2870","ENSG00000198055","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-6860","GRM1","2911","ENSG00000152822","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-6860","HSBP1","3281","ENSG00000230989","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-6860","IGF2R","3482","ENSG00000197081","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","CXCL10","3627","ENSG00000169245","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","KLK2","3817","ENSG00000167751","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","TNPO1","3842","ENSG00000083312","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","LASP1","3927","ENSG00000002834","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","LIPA","3988","ENSG00000107798","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","LLGL1","3996","ENSG00000131899","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","LLGL1","3996","ENSG00000284137","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","LLGL1","3996","ENSG00000131899","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-6860","LLGL1","3996","ENSG00000284137","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-6860","CYP4F3","4051","ENSG00000186529","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","MAP4","4134","ENSG00000047849","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","MLH1","4292","ENSG00000076242","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-6860","MTHFD1","4522","ENSG00000100714","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","MYBPC1","4604","ENSG00000196091","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","NF2","4771","ENSG00000186575","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","SLC11A2","4891","ENSG00000110911","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","NTSR1","4923","ENSG00000101188","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","OLR1","4973","ENSG00000173391","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-6860","FURIN","5045","ENSG00000140564","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-6860","PCCB","5096","ENSG00000114054","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","PIK3R1","5295","ENSG00000145675","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","PKM","5315","ENSG00000067225","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-6860","PON1","5444","ENSG00000005421","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","PON1","5444","ENSG00000005421","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","PPP1R1A","5502","ENSG00000135447","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","NPY4R","5540","ENSG00000204174","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","PSMD3","5709","ENSG00000108344","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6860","PEX2","5828","ENSG00000164751","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","RPL12","6136","ENSG00000197958","HITS-CLIP","23706177"
"mirtarbase","hsa-miR-6860","RPS15A","6210","ENSG00000134419","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-6860","SELPLG","6404","ENSG00000110876","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","SRSF3","6428","ENSG00000112081","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-6860","SNRPD3","6634","ENSG00000100028","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-6860","SORD","6652","ENSG00000140263","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-6860","STK4","6789","ENSG00000101109","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-6860","TERF1","7013","ENSG00000147601","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-6860","KLF10","7071","ENSG00000155090","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-6860","TPR","7175","ENSG00000047410","PAR-CLIP","22012620"
